'DOH000000000003240','14','1411','141102','141102072','05','2016','J06','1','2','3','2','3','6','5','4','0','3','0','0','1','1','0','3','3','2','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','1','Y'
'DOH000000000003240','14','1411','141102','141102072','05','2016','I10','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','1','0','0','3','0','3','2','2','2','0','3','0','2','6','2','2','0','4','Y'
'DOH000000000003240','14','1411','141102','141102072','05','2016','A09','1','0','1','5','0','0','0','1','1','1','0','0','0','0','0','2','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003240','14','1411','141102','141102072','05','2016','N39','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003240','14','1411','141102','141102072','05','2016','L08','0','0','1','0','0','1','2','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003240','14','1411','141102','141102072','05','2016','O23','0','0','0','0','0','0','0','0','0','0','0','2','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003240','14','1411','141102','141102072','05','2016','H10','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003240','14','1411','141102','141102072','05','2016','J45','0','0','1','0','0','2','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003240','14','1411','141102','141102072','05','2016','L02','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003240','14','1411','141102','141102072','05','2016','N76','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','3','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003240','14','1411','141102','141102072','05','2016','J18','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000003240','14','1411','141102','141102072','05','2016','J22','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003240','14','1411','141102','141102072','05','2016','L30','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003240','14','1411','141102','141102072','05','2016','H00','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003240','14','1411','141102','141102072','05','2016','T79','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003240','14','1411','141102','141102072','05','2016','H60','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003240','14','1411','141102','141102072','05','2016','L23','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003240','14','1411','141102','141102072','05','2016','R11','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003240','14','1411','141102','141102072','05','2016','B35','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003240','14','1411','141102','141102072','05','2016','G62','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003240','14','1411','141102','141102072','05','2016','D39','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003240','14','1411','141102','141102072','05','2016','O99','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003240','14','1411','141102','141102072','05','2016','N00','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
